NBFC Name,Regional Office,CoR for Public Deposits,Classification-Detailed,Classification-Abbreviated,CIN,Layer,Listing Status,Industry Segment,Year of Incorporation,Incorporation Type-Abbr,Incorporation Type,,AUM (Rs Cr.),State,Region,Entity_Type,Left_Blank,Size_category,Target_Segment
Aditya Birla Finance Limited,Ahmedabad,No,Investment and Credit Company,ICC,U65990GJ1991PLC064603,Upper,U,,1991,PLC, Public Limited Company,,120940,Maharashtra,West,NBFC,,Top-Tier,No
Bajaj Finance Ltd.,Mumbai,Yes,Investment and Credit Company,ICC,L65910MH1987PLC042961,Upper,L,Financial leasing,1987,PLC, Public Limited Company,,,Karnataka,South,NBFC,,Medium,No
Bajaj Holdings and Investment Limited,Mumbai,No,Investment and Credit Company,ICC,L65100PN1945PLC004656,Middle,L,,1945,PLC, Public Limited Company,,3547,Karnataka,South,NBFC,,Large,Yes
Bandhan Financial Services Limited,Kolkata,No,Core Investment Company,CIC,U70101WB1995PLC073339,Middle,U,"Purchase, sale letting of leased residential buildings",1995,PLC, Public Limited Company,,,Maharashtra,West,NBFC,,Medium,No
Bansal Credits Limited,New Delhi,Yes,Investment and Credit Company,ICC,U65993DL1988PLC031421,Middle,U,Investment activity of ICICI etc. i.e. accepting funds from pubic in different investment plans like flexi bonds etc.,1988,PLC, Public Limited Company,,,Telangana,South,NBFC,,Medium,No
Barclays Investments & Loans (India) Private Limited (Previously Barclays Investments & Loans (India) Limited.,Mumbai,No,Investment and Credit Company,ICC,U93090MH1937FTC291521,Middle,U,,1937,FTC, Private Limited Company that is a Subsidiary of a Foreign Company,,24995,Maharashtra,West,NBFC,,Very Large,Yes
Baroda Agents & Trading Co Pvt Ltd,Kolkata,No,Investment and Credit Company,ICC,U51109WB1942PTC075039,Middle,U,Activities of commission agents n.e.c.,1942,PTC, Private Limited Company,,2700,Delhi,North,NBFC,,Large,Yes
Basant Properties Ltd,Kolkata,No,Investment and Credit Company,ICC,U70101WB1932PLC007341,Middle,U,"Purchase, sale letting of leased residential buildings",1932,PLC, Public Limited Company,,,Chandigarh,North,NBFC,,Medium,No
Belstar Microfinance Limited,Chennai,No,Micro Finance Institution,MFI,U06599TN1988PLC081652,Middle,U,,1988,PLC, Public Limited Company,,,Maharashtra,West,NBFC,,Medium,No
Bengal & Assam Company Limited,Kolkata,No,Core Investment Company,CIC,L67120WB1947PLC221402,Middle,L,Activity of stock brokers,1947,PLC, Public Limited Company,,,Delhi,North,NBFC,,Medium,No
Bengal Finance & Investment Private Limited,Mumbai,No,Investment and Credit Company,ICC,U65923MH1997PTC106632,Middle,U,Activities of commercial loan companies.,1997,PTC, Private Limited Company,,,Maharashtra,West,NBFC,,Medium,No
Bengal Rubber Company Limited,Kolkata,No,Investment and Credit Company,ICC,U25111WB1946PLC013784,Middle,U,Manufacturing of rubber tubes for aircrafts,1946,PLC, Public Limited Company,,,Maharashtra,West,NBFC,,Medium,No
Bengani Leasing & Finance Pvt. Ltd.,Mumbai,No,Investment and Credit Company,ICC,U65910MH1994PTC079847,Middle,U,Financial leasing,1994,PTC, Private Limited Company,,,West Bengal,East,NBFC,,Medium,No
Berar Finance Limited,Mumbai,Yes,Investment and Credit Company,ICC,U65929MH1990PLC057829,Middle,U,Extending of loans by money lenders,1990,PLC, Public Limited Company,,,Delhi,North,NBFC,,Medium,No
BFL Investments & Financial Consultants Pvt. Ltd.,New Delhi,No,Investment and Credit Company,ICC,U65990DL2008PTC173208,Middle,U,,2008,PTC, Private Limited Company,,,Maharashtra,West,NBFC,,Medium,No
Bhanix Finance & Investment Ltd,Mumbai,No,Investment and Credit Company,ICC,U65910MH1996PLC300645,Middle,U,Financial leasing,1996,PLC, Public Limited Company,,,West Bengal,East,NBFC,,Medium,No
Bharat Energy Ventures Private Limited,Bengaluru,No,Core Investment Company,CIC,U40109KA1996PTC021067,Middle,U,Collection and distribution of electricity to commercial users,1996,PTC, Private Limited Company,,,West Bengal,East,NBFC,,Medium,No
Bharti Telecom Limited,New Delhi,No,Core Investment Company,CIC,U32039HR1985PLC032091,Middle,U,,1985,PLC, Public Limited Company,,6192,Tamil Nadu,South,NBFC,,Very Large,Yes
Bichitra Holdings P Ltd,Kolkata,No,Investment and Credit Company,ICC,U65993WB1988PTC044114,Middle,U,Investment activity of ICICI etc. i.e. accepting funds from pubic in different investment plans like flexi bonds etc.,1988,PTC, Private Limited Company,,1207,West Bengal,East,NBFC,,Large,Yes
Bilakhia Holdings Private Limited,Ahmedabad,No,Investment and Credit Company,ICC,U67120GJ1992PTC017523,Middle,U,Activity of stock brokers,1992,PTC, Private Limited Company,,,Maharashtra,West,NBFC,,Medium,No
Birla Brothers Private Limited,Kolkata,No,Investment and Credit Company,ICC,U51109WB1918PTC003010,Middle,U,Activities of commission agents n.e.c.,1918,PTC, Private Limited Company,,,West Bengal,East,NBFC,,Medium,No
Birla Family Investments Pvt. Ltd. [Formerly - Kornerinvest Capital Pvt. Ltd.],Mumbai,No,Investment and Credit Company,ICC,U67190MH2007PTC171369,Middle,U,Activities auxiliary to financial intermediation n.e.c.,2007,PTC, Private Limited Company,,,Maharashtra,West,NBFC,,Medium,No
